task_id	lane	owner	depends_on	input_ids	output	deadline	allocated_minutes	acceptance	state	on_failure
T00	CONTROL	M/脚本	NONE	现行路由;课程合同;仓库HEAD	00_control/INPUTS.tsv;版本与写域基线	D1首包前	20	AC00;QC01	PLANNED	登记冲突;独立输入继续;不切分支不覆盖
TB0	B	W只读→M归档	T00	资料输入清单;家族总卡	B/PAPER_QUEUE.tsv;旧18篇待核项	D1首批	30	AC01;QC02	PLANNED	未知身份不补造;原件缺失只阻该篇
TA1	A	M	T00	I01;I02;本人可定位WIP	A/D1/START_HERE.md;公开材料与提交入口	本人D1第1块前	50	AC06;AC08;A-READY;QC03	PLANNED	先交已可用单元;避免整天补档;不代写本人答案
TA2	A+B	M;W复核	TA1;TB0	SRC_EDGEIM	B/papers/edgeim;A/software-foundations	本人D1第2块前给教学入口;D2终审P2	120	AC02-06;EI-T1..T4;QC04;QC05	PLANNED	保留失败日志;教学例不冒称整篇复现
TB1	B	W只读→M实现	TB0	SRC_PNU	B/papers/pnulock;PNU-01	D1中间交付;D2终审P2	150	AC01-05;PNU-T1..T5;QC06	PLANNED	普通等待图不抵P2;缺真实重演仅该项UNRUN
TB2	B	W只读→M实现	TB0	SRC_SBPN	B/papers/sbpn;SBP-01	D1中间交付;D2终审P2	150	AC01-05;SBP-T1..T6;QC07	PLANNED	公式歧义标CONFLICT;不得换成通用概率课抵交
TB3	B	W只读→M归档	TB0	SRC_SEG;SRC_JOS;SRC_PNU	B/papers/seglock;B/papers/jos2021	D2终审P1	90	SEG-T1..T3;JOS-T1;QC08	PLANNED	分篇标缺口;不能一张谱系图抵两篇机制
TB4	B	W只读→M归档	TB0	SRC_MHP;SRC_UAF	B/papers/mhp;B/papers/uaf;mhp_to_uaf_interface.md	D2终审P1	90	MHP-T1..T2;UAF-T1..T2;QC09	PLANNED	组合接口只标PROPOSED;先各自保住已核机制
TB5	B	W只读→M归档	TB0	SRC_SBTPN;SRC_SBPN	B/papers/sbtpn;SBPN-SBTPN差分	D2终审P1	60	STP-T1..T3;QC10	PLANNED	无参数不编数值;时间语义SOURCE-OPEN
TB6	B	W只读→M归档	TB0	SRC_SIGRANK;SRC_GT;SRC_CROSS	B/papers/sigrank;ground-truth;crossedgeim	D2终审P1	120	SIG-T1..T2;GT-T1..T2;CX-T1..T3;QC11	PLANNED	不做无条件数值排名;保留三篇各自输出
TA3	A	M	TA1;TA2	D1本人实际记录;现行前置	A/D2/START_HERE.md;学习分支;延迟复测安排	本人D2第1块前	50	AC06-08;A-READY;QC12	PLANNED	前置未达继续当前站;不预填EX05/EX06 PASS
TA4	A+B	M	T00	ML-01明确规格	A/ml-basics/DESIGN.md;starter;教师数值参考	D2第4块前	90	ML-T1..T5;QC13	PLANNED	设计/脚手架必交;训练UNRUN单列;不叫ML能力通过
TR1	B	W只读→M归档	T00	I05;I06;DIR-01	 research/DIRECTION_EVIDENCE.tsv;BRIDGE_B1_B2_B3.md	D2终审	60	DIR-T1;BRIDGE-01;QC14;QC15	PLANNED	保留旧证据时点;没有新来源不推断停研
TR2	B	W只读→M裁量	TB1;TB2	已核机制片段;四类外部来源	 research/CANDIDATES.md;NEAREST_NEIGHBORS.tsv	D2终审	60	IDEA-01;QC16;QC17	PLANNED	充分覆盖则淘汰;不凑idea数;下一问题保留
TR3	B	M;W复核	TR2	候选初查;RT-01	 research/toy/RUN_CONFIG.json;PROTOCOL.md;或NEGATIVE_EVIDENCE.md	D2终审	60	AC09;RT-01;QC18	PLANNED	协议缺关键字段不准运行/宣称闭环;无候选交否定证据
TV1	REVIEW	W新任务只读;M执行核验	TA2	首批实际代码/来源/输出	00_control/REVIEW_D1.md	D1材料首发前与收口	40	QC19;QC20;QC21	PLANNED	先修阻断项;未过部分不发布为READY
TV2	REVIEW	W新任务只读;M收口	TA3;TA4;TB1;TB2;TB3;TB4;TB5;TB6;TR1;TR2;TR3	全部已提交包和明确缺件	00_control/ACCEPTANCE_D2.md	D2收口	90	AC00-10;QC01..QC25	PLANNED	允许出PARTIAL报告;不等于全部依赖PASS
TH1	CONTROL	M/脚本	TV2	实际文件;运行记录;复核单	manifest.json;HANDOFF.md;BACKLOG.tsv	D2收口后	30	AC10;QC22;QC23;QC24;QC25	PLANNED	补断链和恢复命令;研究/学习状态分别记录
