scope	kind	mtime_local	source_path	package_path
九月新增或相关产出	任务日志	2026-09-15 01:19:18.222620100 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-15__research__bridge-freeze-date-decoupling-and-plan-review.md	04_Bridge与迁移研究/任务日志/2026/09/2026-09-15__research__bridge-freeze-date-decoupling-and-plan-review.md
九月新增或相关产出	计划或决策	2026-09-15 01:02:37.738015800 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/decisions/2026-09-03__research__bridge-lu-execution-plan-v1.0.md	04_Bridge与迁移研究/计划与决策/2026-09-03__research__bridge-lu-execution-plan-v1.0.md
九月新增或相关产出	方法论与研究反思	2026-09-04 16:39:40.587946000 -0700	/mnt/d/MyResearch/research_growth/README.md	04_Bridge与迁移研究/方法论与反思/README.md
九月新增或相关产出	方法论与研究反思	2026-09-04 16:39:40.563459900 -0700	/mnt/d/MyResearch/research_growth/反思与思考/2026-09-05_EdgeIM四论文十字训练闭环.md	04_Bridge与迁移研究/方法论与反思/反思与思考/2026-09-05_EdgeIM四论文十字训练闭环.md
九月新增或相关产出	方法论与研究反思	2026-09-04 10:03:12.625810500 -0700	/mnt/d/MyResearch/research_growth/反思与思考/2026-09-05_Execution-Structure-Intervention_研究母结构.md	04_Bridge与迁移研究/方法论与反思/反思与思考/2026-09-05_Execution-Structure-Intervention_研究母结构.md
九月新增或相关产出	方法论与研究反思	2026-09-04 09:58:01.810259500 -0700	/mnt/d/MyResearch/research_growth/方法论/TRANSFER_CARD_TEMPLATE.md	04_Bridge与迁移研究/方法论与反思/方法论/TRANSFER_CARD_TEMPLATE.md
九月新增或相关产出	方法论与研究反思	2026-09-04 09:58:01.716368200 -0700	/mnt/d/MyResearch/research_growth/方法论/迁移审计协议_20260905.md	04_Bridge与迁移研究/方法论与反思/方法论/迁移审计协议_20260905.md
九月新增或相关产出	方法论与研究反思	2026-09-04 09:55:54.135378400 -0700	/mnt/d/MyResearch/research_growth/方法论/SKILL_INDEX.md	04_Bridge与迁移研究/方法论与反思/方法论/SKILL_INDEX.md
九月产出_0917学习包已纳入	其他相关产出	2026-09-04 09:04:51.930888900 -0700	/mnt/d/MyResearch/MAS_Safety_Project/research/tracebridge_full_spectrum_20260830/00_control/_scratch/2026-09-03__teardown-reuse/EX-01_reading-method_3KB.md	04_Bridge与迁移研究/其他/research/tracebridge_full_spectrum_20260830/00_control/_scratch/2026-09-03__teardown-reuse/EX-01_reading-method_3KB.md
九月产出_0917学习包已纳入	其他相关产出	2026-09-04 08:47:06.656994800 -0700	/mnt/d/MyResearch/MAS_Safety_Project/research/tracebridge_full_spectrum_20260830/00_control/_scratch/2026-09-03__teardown-reuse/EX-01_reading-kit.md	04_Bridge与迁移研究/其他/research/tracebridge_full_spectrum_20260830/00_control/_scratch/2026-09-03__teardown-reuse/EX-01_reading-kit.md
九月新增或相关产出	方法论与研究反思	2026-09-04 00:58:52.105097500 -0700	/mnt/d/MyResearch/research_growth/方法论/科研体系三源整合_20260904.md	04_Bridge与迁移研究/方法论与反思/方法论/科研体系三源整合_20260904.md
九月产出_0917学习包已纳入	论文原文与拆解	2026-09-03 14:34:02.346252800 -0700	/mnt/d/MyResearch/MAS_Safety_Project/research/papers_lu/teardown-bridge-20260904/13_BRIDGE_SYNTHESIS_20260904.md	04_Bridge与迁移研究/论文原文与拆解/teardown-bridge-20260904/13_BRIDGE_SYNTHESIS_20260904.md
九月新增或相关产出	计划或决策	2026-09-03 05:58:28.897969200 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/decisions/2026-09-03__research__bridge-segment0-execution-brief-v1.1.md	04_Bridge与迁移研究/计划与决策/2026-09-03__research__bridge-segment0-execution-brief-v1.1.md
九月新增或相关产出	交接与恢复	2026-09-03 05:06:28.747751700 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/handoff/2026-09-03__codex-guardrail-and-bridge-pause__handoff.md	04_Bridge与迁移研究/交接与恢复/2026-09-03__codex-guardrail-and-bridge-pause__handoff.md
九月新增或相关产出	任务日志	2026-09-03 05:05:39.125593400 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-03__archive__codex-guardrail-and-bridge-pause.md	04_Bridge与迁移研究/任务日志/2026/09/2026-09-03__archive__codex-guardrail-and-bridge-pause.md
九月新增或相关产出	交接与恢复	2026-09-03 03:50:22.482008400 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/handoff/2026-09-03__bridge-r1-pilot__pause-handoff.md	04_Bridge与迁移研究/交接与恢复/2026-09-03__bridge-r1-pilot__pause-handoff.md
九月新增或相关产出	计划或决策	2026-09-02 19:24:27.855722700 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/decisions/2026-09-03__research__bridge-segment0-execution-brief.md	04_Bridge与迁移研究/计划与决策/2026-09-03__research__bridge-segment0-execution-brief.md
九月新增或相关产出	计划或决策	2026-09-02 17:56:59.839681100 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/decisions/2026-09-03__research__bridge-lu-complete-plan-proposal__fable.md	04_Bridge与迁移研究/计划与决策/2026-09-03__research__bridge-lu-complete-plan-proposal__fable.md
