scope	kind	mtime_local	source_path	package_path
九月新增或相关产出	任务日志	2026-09-17 08:02:17.688809100 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-17__archive__all-progress-and-group-entry-packages.md	01_进组总计划_OE1_材料交付/任务日志/2026/09/2026-09-17__archive__all-progress-and-group-entry-packages.md
九月新增或相关产出	交接与恢复	2026-09-17 08:00:33.477539000 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/handoff/2026-09-17__all-progress-and-group-entry-packages__handoff.md	01_进组总计划_OE1_材料交付/交接与恢复/2026-09-17__all-progress-and-group-entry-packages__handoff.md
九月新增或相关产出	任务日志	2026-09-17 07:47:49.162697500 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-17__learning__group-entry-package-import.md	01_进组总计划_OE1_材料交付/任务日志/2026/09/2026-09-17__learning__group-entry-package-import.md
九月新增或相关产出	其他相关产出	2026-09-17 07:45:40.794953500 -0700	/mnt/d/workspace/Desks/vaults/Research-Garden/learning/group-entry/SOURCES.md	01_进组总计划_OE1_材料交付/其他/ResearchGardenSnapshot/SOURCES.md
九月新增或相关产出	其他相关产出	2026-09-17 07:45:40.786958100 -0700	/mnt/d/workspace/Desks/vaults/Research-Garden/learning/group-entry/FILES.tsv	01_进组总计划_OE1_材料交付/其他/ResearchGardenSnapshot/FILES.tsv
九月新增或相关产出	其他相关产出	2026-09-17 07:44:07.895584200 -0700	/mnt/d/workspace/Desks/vaults/Research-Garden/learning/group-entry/LINK_CHECK.md	01_进组总计划_OE1_材料交付/其他/ResearchGardenSnapshot/LINK_CHECK.md
九月新增或相关产出	其他相关产出	2026-09-17 07:41:29.163762000 -0700	/mnt/d/workspace/Desks/vaults/Research-Garden/learning/group-entry/README.md	01_进组总计划_OE1_材料交付/其他/ResearchGardenSnapshot/README.md
九月产出_0917学习包已纳入	任务日志	2026-09-17 01:33:43.596004200 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-17__research__jinzu-extension-master-contract-and-wave0.md	01_进组总计划_OE1_材料交付/任务日志/2026/09/2026-09-17__research__jinzu-extension-master-contract-and-wave0.md
九月新增或相关产出	计划或决策	2026-09-17 01:33:43.572724600 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/decisions/2026-09-17__research__jinzu-extension-wave1-receipt.md	01_进组总计划_OE1_材料交付/计划与决策/2026-09-17__research__jinzu-extension-wave1-receipt.md
九月新增或相关产出	计划或决策	2026-09-17 01:32:32.136930300 -0700	/mnt/d/MyResearch/MAS_Safety_Project/progress/decisions/2026-09-17__research__jinzu-extension-master-execution-contract.md	01_进组总计划_OE1_材料交付/计划与决策/2026-09-17__research__jinzu-extension-master-execution-contract.md
