rubric_id	stage	question_ids	criterion	evidence_check	score_0	score_1	score_2	critical	pass_rule
R-E1-01	E1	E1-01,E1-03	叙事连贯性与方向匹配	能回指 ROADMAP、FAMILY_SYNTHESIS、bridge §0–§1	无因果链或凭空声称合作	有方向但缺一条证据链	背景→方向→准备→下一步连贯且有边界	no	E1总分>=15/20且关键项无0
R-E1-02	E1	E1-02	拆解工作的具体性	至少指出一张拆解卡和教学闭环正本	只说“读过”且无证据	说出产物但不能说明结构	能说明统一字段、反事实自查和可回查产物	no	同上
R-E1-03	E1	E1-04	独立取证链	打开 A4_pdf_verification §核点1–2 核对步骤	编造数字或无法说明来源	步骤大致正确但遗漏排错环节	双路取证、逐项对照、残余边界均准确	yes	关键项不得0
R-E1-04	E1	E1-05	复现级别与时态	打开 repro/sbpn/README §口径声明	说成完整复现/论文验证	知道有边界但表述含糊	准确区分公式锚、route replay、L3缺口	yes	关键项不得0
R-E1-05	E1	E1-06,E1-07	Bridge现状与未知承认	打开 bridge §1–§2、bridge0 报告/反例	把设计说成已验证或编造窗口值	承认未知但无查证路径	六维接口说清，明确未知、失败标准和下一步	yes	关键项不得0
R-E1-06	E1	E1-08	能力—缺口平衡	回指 ONBOARDING_PREP §二、§五	只讲优势或承诺短期成果	能列能力和缺口但不具体	能力、缺口、入组后学习计划均具体	no	同上
R-E1-07	E1	E1-09	反向提问质量	问题应能映射 ROADMAP/ONBOARDING §四	无技术问题或只求评价	问题相关但不可行动	至少两项可行动问题并说明如何改计划	no	同上
R-E1-08	E1	E1-10	收束与证据护照意识	随机抽5句与 claim_trace.tsv 对照	无成果/未知/下一步三要素	三要素有但证据不全	三要素各有正本和允许时态	no	同上
R-E1-09	E1	E1-04,E1-05,E1-07	X级零泄漏	全程标记 overclaim 词：已验证、完整复现、已获认可等	出现一次未经授权越级表述	主动修正但仍有模糊越级	全程无泄漏并能主动降级	yes	必须为2
R-E1-10	E1	E1-07,E1-10式压力	不知道时的恢复	记录“未知→查证路径→暂定表述”	掩饰、猜数或伪造来源	承认不知道但无下一步	承认边界、给出文件/实验查证路径并保持时态	yes	至少一题得2
R-E2-01	E2	E2-01,E2-02,E2-03	D1机制理解	回指 01_SBTPN、EXAMINER_SOP Gate1	概念混淆或公式功能错	能说主线但缺假设/边界	AND/OR、协同弧、式6–8、阈值/噪声均准确	no	E2总分>=18/24且关键项无0
R-E2-02	E2	E2-04,E2-05	D2 PNULock机制	回指 02_DEADLOCK_PNULOCK、Gate2	把潜在交错等同真实可执行	部分正确但遗漏三分重演	信息丢失、定理1、recover/δ/三分与边界准确	no	同上
R-E2-03	E2	E2-06	SegLock证据审慎	回指 04_DEADLOCKSEG_SEGLOCK、A4 §核点1–2	重复错位表或内存伪数字	知道有错但不能说明影响	方法差异、错位、栏头矛盾、内存缺失均分开表述	yes	关键项不得0
R-E2-04	E2	E2-07	跨论文迁移边界	回指 03_UAF、FAMILY_SYNTHESIS	直接把 UAF 证据迁移到 bridge	仅说“可借鉴”但无边界	说清段/λ/αβ和可迁移设计层限制	no	同上
R-E2-05	E2	E2-08	可审计取证能力	回指 A4 原文和命令/产物	无法复述排错链	步骤不完整但不编造	原 PDF、双路提取、逐项对照、hash/脚本、残余不确定性齐全	no	同上
R-E2-06	E2	E2-09	复现阶梯判断	回指 repro README、C1 REPORT/agent C	将 stage1/L1/L2 称 L3	知道未完成但级别混用	按证据准确给出当前级别和升级条件	yes	关键项不得0
R-E2-07	E2	E2-10	Bridge语义契约	回指 semantic_map.tsv、counterexample_suite.md	漏掉多数维度或把命中率当语义等价	列出维度但无反例	六维齐全且能解释命中率不变的语义丢失	yes	关键项不得0
R-E2-08	E2	E2-11	Prop2统计协议	回指 bridge §2 命题2、G0 spec	改 C/k/N、删失败分母或混阈值	主要参数对但 CI/失败处理错	C6/k3/N100、两个主指标、完整分母、Wilson/paired CI和5pp门槛全对	yes	关键项不得0
R-E2-09	E2	E2-12	Prop3降级与未知	回指 bridge §2 命题3	声称已验证或编造覆盖率	承认设计假说但无补证路径	明确 DESIGN_HYPOTHESIS_ONLY、缺口、候选门槛和查证路径	yes	必须为2
R-E2-10	E2	E2-13	停止规则与研究判断	回指 bridge §3、BRIDGE0 brief、passport	为保主张临时改规则	知道会降级但无明确 stop rule	按 kill criteria 停止/转串联管道并保留失败证据	no	同上
R-E2-11	E2	E2-12,E2-13	未知压力下的诚实度	记录未知问题后是否可复查	猜测、编数字、虚构文献	只说不知道	未知+证据范围+下一步查证+暂定时态均完整	yes	必须为2
R-E2-12	E2	E2-01–E2-13	技术表达与追问恢复	记录追问后能否回到主线	追问后继续越界或失去主线	可回到主线但需要大量提示	能短答、回指、承认边界并提出下一步	no	同上
