project_or_paper	scope	kind	source_path	mtime_local	bytes	sha256	package_path	materialized_from
07_专项训练与待学论文包/02_ra28_MindBridge	九月产出_0917学习包已纳入	学习包与本人作答	/mnt/d/MyResearch/MAS_Safety_Project/learning/training/ra28-mindbridge/EX-03/symptom-3.md	2026-09-18 21:30:37.995686900 -0700	2165	2c262e5d926aafc3977a2a57c2e9c11da18bef27c9cc2b3c0c6f9f97afaff7bc	07_专项训练与待学论文包/02_ra28_MindBridge/学习与课程/training/ra28-mindbridge/EX-03/symptom-3.md	current_source
07_专项训练与待学论文包/02_ra28_MindBridge	九月产出_0917学习包已纳入	学习包与本人作答	/mnt/d/MyResearch/MAS_Safety_Project/learning/training/ra28-mindbridge/EX-03/symptom-2.md	2026-09-18 21:30:37.956342600 -0700	3432	f7a1b60a68e0c2513b1db672c452568a02c9b8d9f45ca335cfa7447d542d739b	07_专项训练与待学论文包/02_ra28_MindBridge/学习与课程/training/ra28-mindbridge/EX-03/symptom-2.md	current_source
07_专项训练与待学论文包/02_ra28_MindBridge	九月产出_0917学习包已纳入	学习包与本人作答	/mnt/d/MyResearch/MAS_Safety_Project/learning/training/ra28-mindbridge/EX-03/symptom-1.md	2026-09-18 21:30:37.903292200 -0700	1898	9c6e9dc60a48dab0948322e560af91fa14b3a45af3b946eaa21d20dc5d54aff6	07_专项训练与待学论文包/02_ra28_MindBridge/学习与课程/training/ra28-mindbridge/EX-03/symptom-1.md	current_source
07_专项训练与待学论文包/02_ra28_MindBridge	九月产出_0917学习包已纳入	学习包与本人作答	/mnt/d/MyResearch/MAS_Safety_Project/learning/training/ra28-mindbridge/OPERATIONS.md	2026-09-18 21:30:37.869269500 -0700	9753	507a7015ec872ddc35708014a11e058737287c4377a387392f749b52fac491f1	07_专项训练与待学论文包/02_ra28_MindBridge/学习与课程/training/ra28-mindbridge/OPERATIONS.md	current_source
07_专项训练与待学论文包/02_ra28_MindBridge	九月产出_0917学习包已纳入	学习包与本人作答	/mnt/d/MyResearch/MAS_Safety_Project/learning/training/ra28-mindbridge/KICKOFF.md	2026-09-18 21:30:37.830664600 -0700	2999	400bd2f55bce2f18de1712d95f485bc87745e6254a9c9a2ce129503169071035	07_专项训练与待学论文包/02_ra28_MindBridge/学习与课程/training/ra28-mindbridge/KICKOFF.md	current_source
07_专项训练与待学论文包/02_ra28_MindBridge	九月产出_0917学习包已纳入	学习包与本人作答	/mnt/d/MyResearch/MAS_Safety_Project/learning/training/ra28-mindbridge/BRIEF.md	2026-09-18 21:30:37.775768300 -0700	10554	cfc63411d464d161764ac68e6f622002e8c767496518d56ea2d93d067667b20b	07_专项训练与待学论文包/02_ra28_MindBridge/学习与课程/training/ra28-mindbridge/BRIEF.md	current_source
02_四论文Ownership主线/01_EdgeIM	九月新增或相关产出	学习包与本人作答	/mnt/d/MyResearch/MAS_Safety_Project/learning/training/lu-edgeim-algo1/EX-06/something4science-dashtop.md	2026-09-18 20:01:32.584489900 -0700	33434	2ef96da382f59157f2948b8ad89e7a78b2f46ab6a70784e5c88c11d5122bac12	02_四论文Ownership主线/01_EdgeIM/学习与课程/EX-06/something4science-dashtop.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	其他相关产出	/mnt/d/MyResearch/MAS_Safety_Project/progress/PROJECTS.md	2026-09-18 19:35:48.209798500 -0700	21282	16bc5e80771af0166a349167937d91cd5104457818b623062c89ff42fbb88bb3	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/其他/progress/PROJECTS.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	其他相关产出	/mnt/d/MyResearch/MAS_Safety_Project/progress/DAILY.md	2026-09-18 19:35:46.317021000 -0700	1738	d3c269c6bd79d51f289be0499aeb6908f8d0286bf1ec9eae1ef08987e1c4383f	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/其他/progress/DAILY.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	其他相关产出	/mnt/d/MyResearch/MAS_Safety_Project/progress/WEEK.md	2026-09-18 19:35:46.297174700 -0700	6282	9ddfc19d00a87e1217053d9e8e8134cbaec426cf3e76727aa3eda6980b6632e0	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/其他/progress/WEEK.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	其他相关产出	/mnt/d/MyResearch/MAS_Safety_Project/progress/NOW.md	2026-09-18 19:35:46.280306600 -0700	9792	7adf51cf790cb71f6cb05676d129af666275bc9116d9501b23b0e0b404e1a239	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/其他/progress/NOW.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	其他相关产出	/mnt/d/MyResearch/MAS_Safety_Project/progress/STATUS.md	2026-09-18 19:35:46.268097500 -0700	2662	42ce5b17eb12359a186472c5361d2c4b7382fc46c020a30c836edc6000763bfa	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/其他/progress/STATUS.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	其他相关产出	/mnt/d/MyResearch/MAS_Safety_Project/progress/PROJECT_HOME.md	2026-09-18 19:35:46.258027700 -0700	5144	19537a9b69f071a2fda2749c3403d29bedf9917e28429f0980a3f0849c0913d9	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/其他/progress/PROJECT_HOME.md	current_source
05_科研台_学习台_工作台支撑	九月新增或相关产出	任务日志	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-18__research__two-desks-plugin-mechanism-deep-scan.md	2026-09-18 07:46:17.508209900 -0700	10409	51aca09f255c43a59a9e46b28071b3a5abadb2b264ca5dbb1797ac313a2705a8	05_科研台_学习台_工作台支撑/任务日志/2026/09/2026-09-18__research__two-desks-plugin-mechanism-deep-scan.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	其他相关产出	/mnt/d/MyResearch/MAS_Safety_Project/progress/TODO.md	2026-09-18 07:45:21.145695100 -0700	108386	b065cecd8ca434974d733300965f67bb6010ed2236bfca98113791498b0320cc	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/其他/progress/TODO.md	current_source
01_进组总计划_OE1_材料交付/99_其他相关计划与状态	九月新增或相关产出	任务日志	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/INDEX.md	2026-09-18 07:43:51.163054800 -0700	150687	a35479b654acc40f1606a5a047b11094ecc059e94ce3e78032ec76977e1d10fa	01_进组总计划_OE1_材料交付/99_其他相关计划与状态/任务日志/INDEX.md	current_source
05_科研台_学习台_工作台支撑	九月新增或相关产出	计划或决策	/mnt/d/MyResearch/MAS_Safety_Project/progress/decisions/two-desks-delta-20260914/REFERENCE_NOTES_20260915.md	2026-09-18 07:41:58.363642100 -0700	64278	c16ed85be78d68c714e3df3c5c915da78365eb37df0c23ad08ffb5f6a71789d9	05_科研台_学习台_工作台支撑/计划与决策/two-desks-delta-20260914/REFERENCE_NOTES_20260915.md	current_source
05_科研台_学习台_工作台支撑	九月新增或相关产出	任务日志	/mnt/d/MyResearch/MAS_Safety_Project/progress/task_logs/2026/09/2026-09-18__archive__workbench-research-desk-plugin-reference-batch.md	2026-09-18 06:35:35.348508400 -0700	8256	6f17743094cab4fb15c4a4d7841e894abddff4223164d14d5306df676b1580c7	05_科研台_学习台_工作台支撑/任务日志/2026/09/2026-09-18__archive__workbench-research-desk-plugin-reference-batch.md	current_source
02_四论文Ownership主线/01_EdgeIM	九月产出_0917学习包已纳入	学习包与本人作答	/mnt/d/MyResearch/MAS_Safety_Project/learning/training/lu-edgeim-algo1/EX-06/notes-ex06.md	2026-09-18 05:47:30.554970200 -0700	12285	4f63ad60e5a3172fb7d5f23a75f8f77386ae97f25f1ec5638df1e548fd268164	02_四论文Ownership主线/01_EdgeIM/学习与课程/EX-06/notes-ex06.md	current_source
