claim_id	claim_kind	paper_claim_or_observation	pdf_locator	paper_evidence	our_check	claim_ceiling
CA-01	IDENTITY	Preprint by Yifeng Xiao and Pierluigi Nuzzo; arXiv:2609.18128v1 dated 2026-09-16	p1 cover	cover title authors and arXiv footer	SOURCE-CHECKED-LOCAL	No external publication or repository status verified
CA-02	CONTRIBUTION	Checkable tool-call predicates instantiate reusable A/G ALTLf contract library	p1 contribution bullets; pp3-4 Def3-4	paper method	SOURCE-CHECKED-LOCAL	Predicate choice and library correctness are not guaranteed
CA-03	CONTRIBUTION	A contract checker supports both online gating and offline trace scoring	p2 contribution bullets; p3 Problem1; pp5-6 sec5.2	formal maps sigma and mu	SOURCE-CHECKED-LOCAL	Same prescribed trace/grounding/library only; not same real-world outcome
CA-04	CONTRIBUTION	Authors evaluate two enforcement and two offline-evaluation benchmarks	p2 contribution bullets; p6 sec6	SOPBench AgentDojo R-Judge tau2-bench	SOURCE-CHECKED-LOCAL	Results are author-reported; no independent reproduction
CA-05	FORMAL	Tool calls emit call and return events; session state is (trace context counters)	p2 Def1	Sigma; state (tau,kappa,rho); event transition	SOURCE-CHECKED-LOCAL	An uninstrumented external effect is not covered by Def1
CA-06	FORMAL	Temporal formulas use finite traces; arithmetic atoms are grounded from events and state	p2 sec3.2	LTLf/ALTLf grammar and pointwise grounding	SOURCE-CHECKED-LOCAL	No full formula/solver correctness proof here
CA-07	FORMAL	Contract valuation is IDLE 1 when assumption false, ACTIVE e when A and G hold, FAIL 0 when A holds and G fails	p3 Eq1; visual rendering checked	Overbars invisible in plain PDF text; rendered image checked	SOURCE-CHECKED-VISUAL	Do not copy flattened extraction without negation bars
CA-08	FORMAL	Aggregate environment verdict is join/max; agent verdict is meet/min; online blocks first prefix not (e,e)	p3 Eq2-3; Problem1	Two distinct maps sigma and mu	SOURCE-CHECKED-VISUAL	Assumption failure and guarantee failure have distinct meanings
CA-09	FORMAL	Interaction predicates are deterministic Boolean P(s,a,c); structural and numeric families	p3 Def3 Table1; p4 sec4	Call/OutHas etc versus Cnt/Tok/Num	SOURCE-CHECKED-LOCAL	Grounding truth depends on trustworthy observation/parameter c
CA-10	VOCABULARY	Appendix A Table4 lists 22 predicate entries; Since(e) is implementation-time extension outside Def1	p11 Appendix A Table4 and preamble	Full catalogue rather than Table1 subset	SOURCE-CHECKED-LOCAL	22 entries are not 22 formal-state event types
