ID	Claim	Source	Source_Type	As_Of	Evidence_Level	Counterevidence_Search	Verdict	Downstream_Contamination
L01	EdgeIM is a concurrency-bug/deadlock detection paper with symbols T_lock, M_wait	docs/USER_MANUAL.md:85-89	AGENT_GENERATED	2026-09-19	FABRICATED	Performed: real paper PDF + teardown found, describes process mining not deadlock detection	CONTRADICTED	USER_MANUAL, MULTI_AGENT_SPEC, harness.py, minimal_openviking_kernel.py, 06_dossier, MULTI_KERNEL_ARCH, NEXT_PHASE_PLAN, 09_window_summary, 04_dossier
L02	EdgeIM real title = "An Efficient Edge-based Process Model Discovery Technique", ICWS 2025, DOI 10.1109/ICWS67624.2025.00057	03_鲁组其他论文与研究谱系/99_其他论文与盘点/论文原文与拆解/teardown-joint-20260813/07_EDGEIM.md:10	SOURCE_FACT	2026-09-05 (teardown date)	SOURCE FACT	Performed: cross-checked against independent 01_ track README_进组急用.md J01 row, same conclusion	VERIFIED	None (this is the correction target)
L03	MULTI_AGENT_PARALLEL_SPECIFICATION.md P05-P10 (DeadlockPredictor, DataRaceGuard, AsyncPetri, FormalEdge, LockTree, HybridRace) are real Lu-group papers	docs/MULTI_AGENT_PARALLEL_SPECIFICATION.md:106-111	AGENT_GENERATED	2026-09-19	UNSOURCED	Performed: grep across entire repo (excl. worktree dupes) finds these 6 names ONLY in this one file; real paper dirs (02_/03_) list 11 different real papers	FABRICATED / UNSOURCED	MULTI_AGENT_PARALLEL_SPECIFICATION.md only (not yet propagated further, caught early)
L04	Real Lu-group paper corpus = 11 papers (EdgeIM, sigRank, GroundTruth_Sommers, CrossEdgeIM, SBTPN, PNULOCK, UAF_PN_VFG, SEGLOCK_DeadlockSeg, SBPN, MHP, Deadlock_JOS2021)	02_四论文Ownership主线/*, 03_鲁组其他论文与研究谱系/01-07	SOURCE_FACT	directory listing, current tree	SOURCE FACT	Performed: directory ls + spot-checked PDFs/teardowns present for each	VERIFIED	Confirms L03 fabrication by contrast
L05	OpenViking dossier §4.2 virtual mount tree lists the correct 11 real papers under ownership/ and pedigree/	06_重点拆解__volcengine__OpenViking...md:247-277	AGENT_GENERATED	2026-09-19	RECONSTRUCTION	Performed: matches L04 exactly	VERIFIED (structure correct, EdgeIM one-line gloss on same page still contaminated per L01)	None; internally contradicts L03 in the same repo
L06	CrossEdgeIM real title = "CrossEdgeIM: An Edge-Based Approach for Interactive Robotic Behavior Model Discovery", IEEE IoT Magazine Jan 2026, DOI 10.1109/MIOT.2025.3625047, no Faming Lu authorship	02_四论文Ownership主线/04_CrossEdgeIM/论文原文与拆解/teardown-bridge-20260904/11_CROSSEDGEIM.md:14	SOURCE_FACT	2026-09-04 (teardown date)	SOURCE FACT	Performed: matches independent J03 row in README_进组急用.md	VERIFIED	MULTI_AGENT_PARALLEL_SPECIFICATION.md P04 gloss ("Distributed Edge Tracing") is a separate minor misdescription
L07	multi_agent_parallel_harness.py demonstrates real 4-agent LLM research pipeline achieving 100% verified parallel paper processing	docs/MULTI_AGENT_PARALLEL_SPECIFICATION.md:115-146, prototypes/multi_agent_parallel_harness.py	AGENT_GENERATED	2026-09-19	HYPOTHESIS presented as SOURCE FACT	Performed: actually executed the script twice (real ThreadPoolExecutor + CAS retry behavior confirmed real); checked filesystem for claimed artifacts (05_科研台/src/petri/analyzer.py, matrix.py) and test files (test_petri_analyzer.py) — none exist	PARTIALLY VERIFIED (lease/backoff toy logic real) / CONTRADICTED (artifact + validation claims are hardcoded strings, not real outputs)	USER_MANUAL.md §四, MULTI_AGENT_PARALLEL_SPECIFICATION.md §五, MULTI_KERNEL_ARCH (implied production-readiness)
L08	Outcome Floor gate "强制要求真实产物+定向测试+状态回写，缺一直接拒签" (implies content-level verification)	docs/MAINTENANCE_MANUAL.md:57, MULTI_AGENT_PARALLEL_SPECIFICATION.md §一	AGENT_GENERATED	2026-09-19	INFERENCE overstated as SOURCE FACT	Performed: read prototypes/minimal_loopx_kernel.py:395-435 deliver_task() source; only check is `if not artifact or not targeted_validation or not state_writeback` (non-empty string check)	PARTIALLY VERIFIED (blocks empty fields) / CONTRADICTED (does not verify content truthfulness, no os.path.exists, no real command execution, hash is over caller-supplied strings)	MAINTENANCE_MANUAL.md troubleshooting table, MULTI_KERNEL_ARCH §2 Control Plane description
L09	Headroom real mechanisms = CacheAligner (compute_frozen_count), SmartCrusher, CCR	10_重点拆解__headroomlabs-ai__headroom...md:14-32	SOURCE_FACT	2026-09-20 (post-purge)	SOURCE FACT	Performed: matched cited line ranges (cache_control.rs:109-133 concept, lib.rs:4-20, compression_benchmark.py imports) against local receipts/sources/headroom/*.rs,*.py — anchors present and consistent	VERIFIED	None (this is the corrected version)
L10	Headroom benchmark table: Truncation <10% survival, Summarization ~85%, Headroom 100%, <5ms latency	10_重点拆解__headroomlabs-ai__headroom...md:44-46	AGENT_GENERATED	2026-09-20	UNSOURCED (specific numbers, no execution receipt)	Performed: confirmed compression_benchmark.py defines the real benchmark harness functions (truncate_data, summarize_data, headroom_compress, evaluate_answer) but requires live OpenAI API calls to produce numbers; no execution log/receipt found anywhere in repo	UNVERIFIED — mechanism real, specific percentages not measured in this repo	10_dossier only; not yet propagated elsewhere
