task_id	owner	state	depends_on	fixed_inputs	single_question	deliverable	acceptance	forbidden	fallback
R2-C0	M	PLANNED	NONE	三个PDF实体;git HEAD/status;本计划	三个文件的身份映射、哈希和写域是否冻结？	00_control中的基线记录与三份空claim ledger	R2-Q01;每个ledger有摘要/贡献/正文/结论入口	猜消息顺序;切分支;改旧计划状态	映射冲突则BLOCKED并停止下游
S-R2-SD	Sol	PLANNED	R2-C0	R2_STRING_DIAGRAMS PDF;本计划第3节	canonical signature的输入输出、四个构造定理、equality/inclusion逻辑、recovery study和信任边界各是什么？	SD_P1_DRAFT:主张表;符号表;定理方向;一个反例;JINZU接口	R2-Q02..Q04;每项有PDF页/节/对象号;未覆盖范围明示	写仓;宣布EdgeIM已支持object-centric signature;把单向命题写成充要	PARTIAL返回已核页码和下一节起点
S-R2-CA	Sol	PLANNED	R2-C0	R2_CONTRAGENT PDF;本计划第3节	同一个contract checker如何支撑online enforcement与offline evaluation，其可观测信任边界在哪里？	CA_P1_DRAFT:数据流;状态/AP/ALTLf/A-G/DFA表;四评测审计;盲点反例	R2-Q02..Q04;延迟和效果数字逐项定位;事件/谓词/合约信任分开	写仓;把DFA扩大为语义/意图安全;忽略return event和counter/context	PARTIAL返回已核定义和未核评测
S-R2-PB	Sol	PLANNED	R2-C0	R2_PETRIBENCH PDF;本计划第3节	六任务、难度生成、exact oracle、ablation、error taxonomy和artifact声明的真实证据是什么？	PB_P1_DRAFT:任务矩阵;生成与solver数据流;评测/误差表;JINZU协议候选	R2-Q02..Q04;有限/无限与local/global不混;作者自报与本轮复现分开	写仓;将基准高分写成会建模/会验证真实系统;用LLM判定最终答案	PARTIAL返回任务定义和未核artifact声明
F-R2-SD	Fable	BLOCKED_BY_SOL_ACCEPTANCE	S-R2-SD;M回源接收	M已接受的SD事实表;当前EX-05公开边界	如何让学习者从“S/E/R保持”走到“trace与并发结构不同的sameness”？	一张零基础教学卡;一对完整公开例;一个空白CONNECT练习	R2-Q06;不给正式题答案;所有论文事实只来自接受包	自行读sealed;评PASS;把String Diagrams改写成EdgeIM算法	证据包未接受则保持BLOCKED
F-R2-CA	Fable	BLOCKED_BY_SOL_ACCEPTANCE	S-R2-CA;M回源接收	M已接受的CA事实表;用户已知Petri网/轨迹概念边界	如何从工具调用轨迹、可检谓词讲到合约状态与DFA verdict？	一张零基础教学卡;一对谓词同值/语义风险不同的空白练习	R2-Q04..Q06;学习者能指出三个信任边界	代写用户反例;宣布formal guardrail解决Agent安全	证据包未接受则保持BLOCKED
F-R2-PB	Fable	BLOCKED_BY_SOL_ACCEPTANCE	S-R2-PB;M回源接收	M已接受的PB事实表;Petri网公开基础	如何用一道有限时域题和一道无限时域题讲清exact oracle与错误分层？	一张零基础教学卡;两道空白手推题;错误分类表	R2-Q05..Q06;参考解与作答区隔离	把参考结果放进用户起始件;用答案长度评分	证据包未接受则保持BLOCKED
G-R2-SD	Gemini-3.8-Flash	HOLD_GATE_G0	Gemini合法快照烟测;R2-C0	SD首页/贡献段/限制段快照<=3份	这些快照明说了哪些题录、贡献、定理方向和局限字段？	DRAFT字段表:claim_id/field/value/source_id/location/quote/uncertainty	G01..G03;所有非空字段100%回源;最多20分钟/1次修正	工具/网络/写入;机制裁决;顺着引用扩展检索	Sol/Luna或M本地抽取;不阻断S-R2-SD
G-R2-CA	Gemini-3.8-Flash	HOLD_GATE_G0	Gemini合法快照烟测;R2-C0	CA首页/评测表/限制段快照<=3份	四评测、延迟、仓库与局限的原文字段是什么？	DRAFT字段表:claim_id/field/value/source_id/location/quote/uncertainty	G01..G03;数值必须带表/页坐标;最多20分钟/1次修正	工具/网络/写入;宣布方法安全;主动找仓库	Sol/Luna或M本地抽取;不阻断S-R2-CA
G-R2-PB	Gemini-3.8-Flash	HOLD_GATE_G0	Gemini合法快照烟测;R2-C0	PB首页/任务表/限制与artifact声明快照<=3份	六任务、作者数值主张、错误分类和artifact声明字段是什么？	DRAFT字段表:claim_id/field/value/source_id/location/quote/uncertainty	G01..G03;任务名与数字逐项定位;最多20分钟/1次修正	工具/网络/写入;评判推理能力;填补找不到的链接	Sol/Luna或M本地抽取;不阻断S-R2-PB
R2-M1	M	BLOCKED_BY_SOL	S-R2-SD;S-R2-CA;S-R2-PB	三个Sol包;M的原文抽查;Gemini候选如已过门	三篇对JINZU的具体价值、先后顺序、最小产物和声明上限是什么？	三张研究卡;sameness_ladder规格;predicate_blindspot_pairs规格;exact_oracle_eval_protocol规格;JINZU桥接矩阵	R2-Q01..Q08;反向覆盖无不解释遗漏	把三篇包装成一个已成立方向;修改邮件/简历/已有PASS	任一篇未闭合则独立PARTIAL，不拖累其他篇
R2-V1	M+确定性检查	BLOCKED_BY_R2-M1	R2-M1	三个PDF;所有候选输出	身份、主张、机制、数字、应用和未知项是否都能回到原文或真实运行？	验收回执;拒收项;未核项;下一动作	R2-Q01..Q08;每个状态有证据;模型同意不作为独立oracle	以文档存在为DONE;以同家族复核为异构验收	只接收已证范围;其余保持UNKNOWN/PARTIAL
