seq	local_time	lane	operation	inputs	observable_result	state_or_limit	evidence
01	TIME_NOT_CAPTURED_2026-09-25	CONTROL	用户要求先查 zancun 进度与 AI 侧未完成事项	00_先看这里.md;00_control/TASKS.tsv;历史合同	读清 A 材料 READY/本人 D1 尚无动作/B 大部分未落盘	READ_ONLY_AUDIT	本窗口聊天;00_control/TASKS.tsv:2-8
02	TIME_NOT_CAPTURED_2026-09-25	CONTROL	三只读 Agent 并行盘点 D1 控制/学习/AI 论文线	10 包及原课程公开页	三份盘点返回，主控抽查重要文件	AUDIT_ONLY_NOT_PAPER_WORK	本窗口聊天;00_control/REVIEW_D1.md:29-39
03	TIME_NOT_CAPTURED_2026-09-25	CONTROL	用户澄清全部 14 篇须逐篇深入拆并可并行	原11论文队列+新增3篇;01_合同;03_管线	录入新 scope，不追认旧2天进度	USER_AUTHORIZED_NEW_DEPTH	00_control/DEEP14_SCOPE_2026-09-25.md
04	TIME_NOT_CAPTURED_2026-09-25	CONTROL	读取HEAD/status和五份首波/增量PDF哈希	git status;PNULock;SBPN;R2三PDF	HEAD=6f31e79;旧六项dirty已登记;PDF哈希冻结	INPUT_IDENTITY_ONLY	00_control/DEEP14_SCOPE_2026-09-25.md;R2_C0_2026-09-25.md;DEEP14_WAVE1_DISPATCH_2026-09-25.md
05	TIME_NOT_CAPTURED_2026-09-25	CONTROL	建三篇增量原始空主张台账	R2_C0_2026-09-25.md	三个表头文件存在，无主张行	EMPTY_NO_PAPER_CLAIMS	00_control/R2_{CONTRAGENT,PETRIBENCH,STRING_DIAGRAMS}_claims.tsv
06	TIME_NOT_CAPTURED_2026-09-25	B_WORKER	派 deep_pnulock、deep_sbpn、deep_contragent 三只读 Agent	三篇冻结PDF及各自 rubric	三项均连接流中断，未返回可用论文内容	TRANSPORT_ERROR_ACCEPTED_CLAIMS_0	00_control/DEEP14_WAVE1_DISPATCH_2026-09-25.md:5-11
07	TIME_NOT_CAPTURED_2026-09-25	B_CONTROLLER	直接核 ContrAgent 原始PDF全部13页、关键页面渲染及旧草稿	R2_CONTRAGENT PDF SHA=b338efa7...;03_管线;05_旧核验	原文语义、评测四轴和局限得到带页锚控制器审阅	NO_HETEROGENEOUS_REVIEW	B/papers/contragent/analysis.md;ACCEPTANCE.md
08	TIME_NOT_CAPTURED_2026-09-25	B_CONTROLLER	写 ContrAgent 一篇 PARTIAL 来源包	原PDF pp1-13	36条claims、来源/DELTA/reuse/README/ACCEPTANCE、2对仅规格JSON	PARTIAL_NOT_RUN	B/papers/contragent/;00_control/TASKS.tsv:D14-CA
09	TIME_NOT_CAPTURED_2026-09-25	CONTROL	把十四篇逐项排入 TASKS 并如实标部分进度	原TASKS.tsv;本窗口新文件	D14-CA仅部分；PNULock/SBPN子代理无结果；其余未开始	TASKS_IS_STATUS_AUTHORITY	00_control/TASKS.tsv:D14-*
10	TIME_NOT_CAPTURED_2026-09-25	CONTROL	用户指令停一下，先全量归档本窗口	用户最新指令	不再派Agent、不继续论文内容、不跑实验	PAUSED_BY_USER	00_control/DEEP14_SCOPE_2026-09-25.md:3;00_control/TASKS.tsv:D14-SCOPE
11	2026-09-25T19:14:18-07:00	CONTROL	只读暂停盘点本地时间与Git状态	git status;date	HEAD未变;旧六项背景差异仍在;TASKS和新增包为本窗口产物	READ_ONLY_CHECK	00_control/HANDOFF_DEEP14_WINDOW_2026-09-25.md:4;终验记录待附
12	TIME_NOT_CAPTURED_2026-09-25	CONTROL_ARCHIVE	补齐交接的下一计划/使用手册/维护手册和架构分工;在根及包入口各加暂停指针	HANDOFF_DEEP14_WINDOW_2026-09-25.md;TASKS.tsv;ACCEPTANCE.md	本窗口计划/架构/使用/维护文档已落盘;历史日期保留但已顶置PAUSED入口	ARCHIVE_ONLY_NOT_RESEARCH	00_control/NEXT_PLAN_DEEP14_2026-09-25.md;00_control/USER_GUIDE_DEEP14_2026-09-25.md;00_control/MAINTENANCE_DEEP14_2026-09-25.md;00_先看这里.md;00_START_HERE.md
13	TIME_NOT_CAPTURED_2026-09-25	CONTROL_ARCHIVE	档案清单生成前检查D14行/CA主张/fixture及两个入口相对链接	TASKS.tsv;B/papers/contragent/claims.tsv;fixtures/predicate_blindspot_pairs.json	14个论文任务行及36条CA主张通过;JSON可读;入口中清单链接因清单尚未生成而暂报缺失	EXPECTED_MANIFEST_PENDING	00_control/WINDOW_ARCHIVE_MANIFEST_2026-09-25.tsv;终验待清单生成后进行
14	2026-09-26T01:09:55-07:00	CONTROL_ARCHIVE	09-25暂停窗口的次日归档终验;不恢复论文生产	WINDOW_ARCHIVE_MANIFEST_2026-09-25.tsv;TASKS.tsv;B/papers/contragent/claims.tsv;fixture JSON;根/包入口链接	清单所列24个非自引用文件哈希和字节均匹配;14个论文行;36个CA claims;fixture JSON可解析;新入口链接均可定位;本任务tracked diff --check无报错	ARCHIVE_INTEGRITY_PASS_NOT_PAPER_REVIEW	00_control/WINDOW_ARCHIVE_MANIFEST_2026-09-25.tsv;本行时间为终验后落盘时刻
